Kernel:linear | Gamma:0.1 e C:100 | Accuracy: 44.74% | channel: ['E100']| count: 1

Kernel:poly | Gamma:10 e C:100 | Accuracy: 42.11% | channel: ['E101']| count: 1
Kernel:linear | Gamma:10 e C:100 | Accuracy: 50.00% | channel: ['E101']| count: 2
Kernel:linear | Gamma:10 e C:1000 | Accuracy: 42.11% | channel: ['E101']| count: 3
Kernel:linear | Gamma:1e-06 e C:100 | Accuracy: 42.11% | channel: ['E101']| count: 4
Kernel:linear | Gamma:0.001 e C:10 | Accuracy: 42.11% | channel: ['E101']| count: 5
Kernel:linear | Gamma:0.001 e C:100 | Accuracy: 42.11% | channel: ['E101']| count: 6
Kernel:linear | Gamma:0.01 e C:100 | Accuracy: 42.11% | channel: ['E101']| count: 7
Kernel:linear | Gamma:1 e C:100 | Accuracy: 42.11% | channel: ['E101']| count: 8
Kernel:linear | Gamma:0.001 e C:100 | Accuracy: 42.11% | channel: ['E101']| count: 9
Kernel:poly | Gamma:10 e C:0.1 | Accuracy: 42.11% | channel: ['E101']| count: 10
Kernel:linear | Gamma:1 e C:1000 | Accuracy: 44.74% | channel: ['E101']| count: 11
Kernel:poly | Gamma:1 e C:1000 | Accuracy: 44.74% | channel: ['E101']| count: 12
Kernel:linear | Gamma:10 e C:10 | Accuracy: 44.74% | channel: ['E101']| count: 13
Kernel:linear | Gamma:0.0001 e C:10 | Accuracy: 44.74% | channel: ['E101']| count: 14
Kernel:rbf | Gamma:0.1 e C:100 | Accuracy: 42.11% | channel: ['E101']| count: 15
Kernel:linear | Gamma:1e-05 e C:1000 | Accuracy: 42.11% | channel: ['E101']| count: 16
Kernel:linear | Gamma:10 e C:100 | Accuracy: 50.00% | channel: ['E101']| count: 17
Kernel:linear | Gamma:0.01 e C:1000 | Accuracy: 42.11% | channel: ['E101']| count: 18
Kernel:linear | Gamma:10 e C:10 | Accuracy: 42.11% | channel: ['E101']| count: 19

Kernel:linear | Gamma:0.1 e C:1000 | Accuracy: 42.11% | channel: ['E102']| count: 1
Kernel:rbf | Gamma:0.001 e C:1000 | Accuracy: 42.11% | channel: ['E102']| count: 2

Kernel:poly | Gamma:10 e C:100 | Accuracy: 42.11% | channel: ['E103']| count: 1
Kernel:poly | Gamma:1 e C:0.1 | Accuracy: 42.11% | channel: ['E103']| count: 2
Kernel:linear | Gamma:0.0001 e C:1 | Accuracy: 42.11% | channel: ['E103']| count: 3

Kernel:sigmoid | Gamma:0.1 e C:1 | Accuracy: 44.74% | channel: ['E104']| count: 1

Kernel:linear | Gamma:0.001 e C:10 | Accuracy: 42.11% | channel: ['E105']| count: 1
Kernel:sigmoid | Gamma:0.1 e C:10 | Accuracy: 42.11% | channel: ['E105']| count: 2
Kernel:linear | Gamma:0.0001 e C:10 | Accuracy: 44.74% | channel: ['E105']| count: 3

Kernel:sigmoid | Gamma:0.001 e C:1000 | Accuracy: 42.11% | channel: ['E106']| count: 1
Kernel:linear | Gamma:1e-06 e C:1 | Accuracy: 42.11% | channel: ['E106']| count: 2
